151;AHD;Ardmore Downtown Executive Airport (FAA: 1F0);Ardmore, Oklahoma, United States
152;AHE;Ahe Airport;Ahe, Tuamotus, French Polynesia
153;AHF;Arapahoe Municipal Airport (FAA: 37V);Arapahoe, Nebraska, United States
154;AHH;Amery Municipal Airport;Amery, Wisconsin, United States
155;AHI;Amahai Airport;Amahai, Indonesia
156;AHJ;Hongyuan Airport;Hongyuan, Sichuan, China
157;AHL;Aishalton Airstrip;Aishalton, Guyana
158;AHM;Ashland Municipal Airport[1];Ashland, Oregon, United States
159;AHN;Athens Ben Epps Airport;Athens, Georgia, United States
160;AHO;Alghero-Fertilia Airport;Alghero, Sardinia, Italy
161;AHS;Ahuas Airport;Ahuas, Honduras
162;AHU;Cherif Al Idrissi Airport;Al Hoceima, Morocco
163;AHW;Saih Rawl Airport[1];Saih Rawl, Oman
164;AHY;Ambatolahy Airport;Ambatolahy, Madagascar
165;AHZ;Alpe d'Huez Airport;Alpe d'Huez, Rhône-Alpes, France
166;AIA;Alliance Municipal Airport;Alliance, Nebraska, United States
167;AIC;Ailinglaplap Airok Airport;Airok, Ailinglaplap Atoll, Marshall Islands
168;AID;Anderson Municipal Airport (Darlington Field);Anderson, Indiana, United States
169;AIE;Aiome Airport;Aiome, Papua New Guinea
170;AIF;Assis Airport (former ICAO: SBAS);Assis, S?o Paulo, Brazil
171;AIG;Yalinga Airport;Yalinga, Central African Republic
172;AIH;Aiambak Airport;Aiambak, Papua New Guinea
173;AII;Ali-Sabieh Airport;Ali Sabieh, Djibouti
174;AIK;Aiken Municipal Airport;Aiken, South Carolina, United States
175;AIL;Ailigandí Airport;Ailigandí, Panama
176;AIM;Ailuk Airport;Ailuk Atoll, Marshall Islands
177;AIN;Wainwright Airport (FAA: AWI);Fort Wainwright, Alaska, United States
178;AIO;Atlantic Municipal Airport;Atlantic, Iowa, United States
179;AIR;Aripuan? Airport;Aripuan?, Mato Grosso, Brazil
180;AIS;Arorae Island Airport;Arorae Island, Kiribati
181;AIT;Aitutaki Airport;Aitutaki, Cook Islands
182;AIU;Atiu Island Airport;Atiu Island, Cook Islands
183;AIV;George Downer Airport;Aliceville, Alabama, United States
184;AIW;Ai-Ais Airport;Ai-Ais, Namibia
185;AIY;Atlantic City Municipal Airport (Bader Field) (closed 2006);Atlantic City, New Jersey, United States
186;AIZ;Lee C. Fine Memorial Airport;Lake Ozark, Missouri, United States
187;AJA;Ajaccio Napoleon Bonaparte Airport;Ajaccio, Corsica, France
188;AJF;Al-Jawf Domestic Airport;Al-Jawf, Saudi Arabia
189;AJI;A?r? Airport;A?r?, Turkey
190;AJJ;Akjoujt Airport;Akjoujt, Mauritania
191;AJK;Arak Airport[1];Arak, Iran
192;AJL;Lengpui Airport;Aizawl, Mizoram, India
193;AJN;Ouani Airport;Anjouan, Comoros
194;AJR;Arvidsjaur Airport;Arvidsjaur, Sweden
195;AJS;Punta Abreojos Airstrip;Punta Abreojos, Baja California Sur, Mexico
196;AJU;Santa Maria Airport;Aracaju, Sergipe, Brazil
197;AJY;Mano Dayak International Airport;Agadez, Niger
198;AKA;Ankang Wulipu Airport;Ankang, Shaanxi, China
199;AKB;Atka Airport (FAA: AKA);Atka, Alaska, United States
200;AKC;Akron Fulton International Airport (FAA: AKR);Akron, Ohio, United States
201;AKD;Akola Airport;Akola, Maharashtra, India
202;AKE;Akieni Airport;Akiéni, Gabon
203;AKF;Kufra Airport;Kufra, Libya
204;AKG;Anguganak Airport;Anguganak, Papua New Guinea
205;AKH;Prince Sultan Air Base;Al-Kharj, Saudi Arabia
206;AKI;Akiak Airport;Akiak, Alaska, United States
207;AKJ;Asahikawa Airport;Asahikawa, Hokkaido, Japan
208;AKK;Akhiok Airport;Akhiok, Alaska, United States
209;AKL;Auckland Airport;Auckland, New Zealand
210;AKM;Zakouma Airport;Zakouma National Park, Chad
211;AKN;King Salmon Airport;King Salmon, Alaska, United States
212;AKO;Colorado Plains Regional Airport;Akron, Colorado, United States
213;AKP;Anaktuvuk Pass Airport;Anaktuvuk Pass, Alaska, United States
214;AKQ;Gunung Batin Airport;Astraksetra, Indonesia
215;AKR;Akure Airport;Akure, Nigeria
216;AKS;Auki Gwaunaru'u Airport;Auki, Malaita, Solomon Islands
217;AKT;RAF Akrotiri;Akrotiri, Cyprus
218;AKU;Aksu Airport;Aksu, Xinjiang, China
219;AKV;Akulivik Airport;Akulivik, Quebec, Canada
220;AKW;Aghajari Airport[1];Aghajari, Iran
221;AKX;Aktobe Airport;Aktobe, Kazakhstan
222;AKY;Sittwe Airport;Sittwe, Myanmar
223;ALA;Almaty International Airport;Almaty, Kazakhstan
224;ALB;Albany International Airport;Albany, New York, United States
225;ALC;Alicante–Elche Airport;Alicante, Valencia, Spain
226;ALD;Alerta Airport;Alerta, Peru
